gene,route_class,direction,n_P,n_B,oddspath_point,oddspath_lo,tier,abstain,abstain_reason,TPR_point,TPR_lo,FPR_point,FPR_hi,n_cl_num,n_cl_den,TNR_point,TNR_lo,FNR_point,FNR_hi,apply_total,apply_LoF,apply_Normal,apply_receiving
RAD51D,synonymous,PS3,0,196,,,uncertain,True,n_P<10,,0.0,0.02040816326530612,0.05626763859152308,0,166,,,,,483,24,450,24
VHL,intronic,BS3,0,5,inf,,uncertain,True,n_P<10,,,,,5,0,0.6,0.14663279963467313,,1.0,430,10,390,390
VHL,intronic,PS3,0,5,,,uncertain,True,n_P<10,,0.0,0.0,0.5218237501049814,0,5,,,,,430,10,390,10
VHL,missense,BS3,100,2,16.666666666666668,,uncertain,True,n_B<10,,,,,2,75,1.0,0.15811388300841897,0.06,0.11561463401930785,1027,156,793,793
VHL,missense,PS3,100,2,inf,,uncertain,True,n_B<10,0.88,0.8171064734437357,0.0,0.841886116991581,75,2,,,,,1027,156,793,156
VHL,nonsense,BS3,25,0,,,uncertain,True,n_B<10,,,,,0,24,,0.0,0.04,0.2112016834569731,35,19,14,14
VHL,nonsense,PS3,25,0,inf,,uncertain,True,n_B<10,0.96,0.7887983165430269,,1.0,24,0,,,,,35,19,14,19
VHL,splice_region,BS3,11,18,inf,1.501902362837108,uncertain,True,bound_below_supporting,,,,,12,7,0.9444444444444444,0.6152038348490559,0.0,0.40961639722500337,110,33,68,68
VHL,splice_region,PS3,11,18,inf,2.2308219054509095,Supporting,False,,1.0,0.5903836027749966,0.0,0.2646484693970512,7,12,,,,,110,33,68,33
VHL,start/stop_lost,BS3,2,0,,,uncertain,True,n_P<10,,,,,0,2,,0.0,0.0,0.841886116991581,7,1,5,5
VHL,start/stop_lost,PS3,2,0,inf,,uncertain,True,n_P<10,0.5,0.01257911709342505,,1.0,2,0,,,,,7,1,5,1
VHL,synonymous,BS3,1,152,inf,,uncertain,True,n_P<10,,,,,118,1,0.9605263157894737,0.905792321574581,0.0,0.975,234,11,218,218
VHL,synonymous,PS3,1,152,0.0,,uncertain,True,n_P<10,0.0,0.0,0.019736842105263157,0.05770420412504793,1,118,,,,,234,11,218,11
